Wall time,Step,Value
1748010421.1857977,75000,9422.2080078125
1748010452.9259763,150000,9896.8740234375
1748010494.6195297,225000,9886.7724609375
1748010527.2481813,300000,9887.353515625
1748010586.7552361,375000,9909.97265625
1748010630.763744,450000,9938.1259765625
1748010676.2641613,525000,9970.634765625
1748010712.7681003,600000,9956.3828125
1748010745.7864697,675000,9944.28515625
1748010790.7864692,750000,9953.337890625
1748010824.7311962,825000,9973.083984375
1748010870.8835945,900000,9964.046875
1748010905.552716,975000,9952.3994140625
